TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
93,species,reltin1,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),,
101,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),,
102,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous),,yeltin1
103,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous),,yeltin1
104,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),,
107,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),,
110,species,chotin1,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),,
111,species,vartin1,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),,
112,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),,
113,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),,thitin1
114,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),,thitin1
123,species,rustin1,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),,
124,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),,
125,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),,
126,species,bartin1,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),,
127,species,tattin1,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),,
132,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),,
133,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),,
137,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),,
138,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),,
139,species,orntin1,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),,
143,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),,
146,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),,
149,species,andtin1,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),,
157,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),,
160,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),,
161,species,whbnot1,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),,
162,species,lesnot1,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),,
163,species,darnot1,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),,
169,species,sponot1,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),,
179,species,dwatin1,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),,
180,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),,
191,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),,
194,species,puntin1,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),,
195,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),,
196,spuh,tinamo1,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),,
197,species,soucas1,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
198,species,dwacas1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),,
199,species,norcas1,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),,
200,species,emu1,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),,
205,species,sobkiw1,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,
206,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),,sobkiw1
208,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),,
209,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),,
210,species,liskiw1,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),,
211,species,grskiw1,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),,
212,species,horscr1,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Screamers,
213,species,souscr1,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),,
214,species,norscr1,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),,
215,species,maggoo1,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
216,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
217,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
218,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
219,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
220,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
221,issf,bkbwhd1,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
222,issf,bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
223,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
224,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
225,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
226,hybrid,x00938,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
227,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
228,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
232,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
233,slash,y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
234,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
235,species,whbduc1,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
238,species,bahgoo,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
239,species,empgoo,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
240,species,snogoo,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
243,species,rosgoo,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
244,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
245,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
246,species,gragoo,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
247,issf,gragoo2,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
248,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
249,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
250,species,swagoo1,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
251,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
252,hybrid,x00776,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
253,species,gwfgoo,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
254,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
255,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
256,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
259,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
260,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
261,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
262,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
263,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
264,species,taibeg1,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
271,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
272,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
273,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
274,spuh,anser1,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
275,species,brant,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276,issf,dabbra1,Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
277,issf,atlbra1,Brant (Atlantic),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
278,issf,blkbra1,Brant (Black),Branta bernicla nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
279,form,gybbra1,Brant (Gray-bellied),Branta bernicla (Gray-bellied),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
280,intergrade,brant1,Brant (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
281,hybrid,x00685,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
282,species,bargoo,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
283,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
284,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
285,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
286,species,cacgoo1,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287,issf,alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
288,issf,ricgoo1,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
289,issf,cacgoo2,Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
290,issf,tacgoo1,Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
291,hybrid,x00831,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
292,hybrid,x00692,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
293,hybrid,x00694,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
294,hybrid,x00722,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
295,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
296,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
297,species,cangoo,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
298,issf,cangoo4,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
301,issf,cangoo3,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
304,issf,cangoo1,Canada Goose (canadensis Group),Branta canadensis [canadensis Group],Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
308,hybrid,x00908,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
309,hybrid,swagoo3,Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
310,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
311,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
312,hybrid,x00758,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
313,hybrid,gragoo4,Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
314,hybrid,x00759,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
315,hybrid,x00197,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
316,hybrid,x00693,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
317,hybrid,x00417,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
318,slash,y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
319,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
320,species,hawgoo,Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
321,species,rebgoo1,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
322,hybrid,x00939,Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
323,spuh,branta1,Branta sp.,Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
324,spuh,goose1,goose sp.,Anser/Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
325,species,cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
328,species,freduc1,Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
329,species,buwgoo1,Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
330,species,mutswa,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
331,species,blkswa,Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
332,species,blnswa2,Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
333,species,truswa,Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
334,hybrid,x00832,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
335,species,tunswa,Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
336,issf,tunswa1,Tundra Swan (Whistling),Cygnus columbianus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
337,issf,bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
338,intergrade,tunswa2,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
339,hybrid,x00418,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
340,slash,y00471,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
341,species,whoswa,Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
342,hybrid,x00419,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
343,slash,y00708,Tundra/Whooper Swan,Cygnus columbianus/cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
344,spuh,swan1,swan sp.,Cygnus sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
345,species,cosswa1,Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
346,species,comduc2,Knob-billed Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
347,species,comduc3,Comb Duck,Sarkidiornis sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
348,species,harduc1,Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
349,species,origoo1,Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
350,species,andgoo1,Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
351,species,uplgoo1,Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
354,form,uplgoo2,Upland Goose (White-breasted),Chloephaga picta (White-breasted),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
355,form,uplgoo3,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
356,species,kelgoo1,Kelp Goose,Chloephaga hybrida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
359,species,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
360,species,ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
361,spuh,chloep1,Chloephaga sp.,Chloephaga sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
362,species,radshe1,Radjah Shelduck,Radjah radjah,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
365,species,egygoo,Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
366,species,maushe1,Mauritius Shelduck,Alopochen mauritiana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
367,species,reushe1,Reunion Shelduck,Alopochen kervazoi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
368,species,rudshe,Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
369,species,soashe1,South African Shelduck,Tadorna cana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
370,species,ausshe1,Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
371,species,parshe1,Paradise Shelduck,Tadorna variegata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
372,species,comshe,Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
